Volume,Issue,Accessed from,Date published,Editor,Credits ,Total pages,Price,Published by,Printed by ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Gale Primary Sources,1972,J Forster,"Murray Marr, Jay Frances, H Milton, Barbara Murray, M Gallivan, J Green, B Todd",16,20p,Sappho Publications,"Marylands Printing Services, Hemel Hempstead, Herts. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,Gale Primary Sources,1972,J Forster,"Jay Frances, Murrary Marr, Barbara Murray, H Milton, J Gibson, J Green, B Todd, Jenny Potter",20,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,Gale Primary Sources,1972,Jacqueline Forster,"Jay Frances, Murrary Marr, Barbara Murray, J Gibson, H Milton, J Green, Babs Todd, Jenny Potter",20,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,Gale Primary Sources,1972,Jacqueline Forster,"Murray Marr, Barbara Murray, J Gibson, H Milton, J Green, Babs Todd, Jenny Potter",24,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,Gale Primary Sources,01/12/1972,Jacqueline Forster,"Murray Marr, Barbara Murray, J Green, Babs Todd, Jenny Potter, D Wright",24,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,Gale Primary Sources,01/02/1973,Jacqueline Forster,"Murray Marr, Barbara Murray, J Green, Babs Todd, Jenny Potter, D Wright, Jay Francis, I Clarke",24,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Gale Primary Sources,Apr-73,Jacqueline Forster,"Murray Marr, Barbara Murray, Babs Todd, J Green, Jenny Potter, D Wright, Jay Francis, I Clarke",24,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Gale Primary Sources,Jun-73,Jacqueline Forster,"Murray Marr, Jenny Potter, Babs Todd, Barbara Murray, J Forster, R Hibbert, M Yallop, D Wright, Jay Francis, I Clarke",28,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Gale Primary Sources,Aug-73,Jacqueline Forster,"Murray Marr, Jenny Potter, Babs Todd, Barbara Murray, J Forster, R Hibbert, M Yallop, D Wright, Jay Francis, I Clarke",29,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,Gale Primary Sources,Oct-73,Jacqueline Forster,"Murray Marr, Babs Todd, J Grace, Barbara Murray, H Hilton, M Yallop, R Hibbert, Jenny Potter, D Wright, Jay Francis, I Clarke",28,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,Gale Primary Sources,Dec-73,Jacqueline Forster,"Murray Marr, Babs Todd, J Grace, Barbara Murray, H Hilton, M Yallop, R Hibbert, Jenny Potter, D Wright, Jay Francis, I Clarke",28,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,Gale Primary Sources,Feb-74,Jacqueline Forster,"Murray Marr, Babbs Todd, J Grace, Barbara Murray, H Hilton, M Yallop, R Hibbert, Jenny Potter, D Wright, Jay Francis, I Clarke",28,25p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,Gale Primary Sources,Apr-74,Jackie Forster,"Murray Marr, Sue Neumann, Babs Todd, A Chilton, Barbara Murray, Marie Yallop, E Bleivas,  D Mutimer, D Wright, J Francis, I Clarke",28,35p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Gale Primary Sources,Jun-74,Jackie Forster,"Murray Marr, Sue Neumann, Alex Latham, Babs Todd, A Chilton, Barbara Murray, D Mutimer, Penny & Bernie, D Wright, J Francis, I Clarke",32,35p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,Gale Primary Sources,1974,Jackie Forster,"Murray Marr, Sue Neumann, Kate Charlesworth, Babs Todd, A Chilton, Barbara Murray, D Mutimer, Penny & Bernie, D Wright, J Francis, I Clarke",32,35p ,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,Gale Primary Sources,1974,Jackie Forster,"Murray Marr, Sue Neumann, Kate Charlesworth, Jenny Pennings, Babs Todd, A Chilton, Barbara Murray, Liz, Brigid, Ruth, D Wright, J Francis, I Clarke",32,35p ,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,Gale Primary Sources,1975,Jacqueline Mackenzie,"Murray Marr, Kate Charlesworth, Jenny Pennings, Babs Todd, A Chilton, H Milton, Lynn and Di, Liz, Bridget, Joyce, Jenny Green, I Clarke",32,35p ,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,Gale Primary Sources,1975,"Jacqueline Forster, Joan Young","Murray Marr, Kate Charlesworth, Alex Latham, Babs Todd, A Chilton, H Milton, Lynn and Di, Wanda, Bridget, Liz, Ruth, I Clarke",32,35p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Gale Primary Sources,1975,Jacqueline Forster,"Joan Young, Angie, Babs, Bridget, Carol, Cathy, Di, Helen, Jan, Jenny,Joan, Kate, Liz, Lynn, Marie, Murray, Renee, Ruth, Val, Wanda, Alex Latham",32,35p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,Gale Primary Sources,1975,Jacqueline Forster,"Joan Young, Angie, Babs, Bridget, Carol, Cathy, Di, Helen, Jan, Jenny,Joan, Kate, Liz, Lynn, Marie, Murray, Renee, Ruth, Val, Wanda, Alex Latham",32,40p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,Gale Primary Sources,1975,Jacqueline Forster,"Joan Young, Angie, Babs, Bridget, Carol, Cathy, Di, Helen, Jan, Jenny,Joan, Kate, Liz, Lynn, Marie, Murray, Renee, Ruth, Val, Wanda, Alex Latham",36,40p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,Gale Primary Sources,1976,Jackie Forster,"Angie, Babs, Di, Elizabeth, Helen, Joan, Jenny, Jan, Jean, Kate, Liz, Lynn, Mary, Myrtle, Miles, Murray, Renee, Vera, Alex Latham",35,50p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,Gale Primary Sources,1976,Jackie Forster,"Angie, Di, Elizabeth, Helen, Joan, Jenny, Jan, Jean, Kate. Liz, Lynn, Mary, Myrtle, Myles, Murray, Renee, Vera, Alex Latham",36,50p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,Gale Primary Sources,1976,Jackie Forster,"Angie, Di, Elizabeth, Helen, Joan, Jenny, Jan, Jean, Kate. Liz, Lynn, Mary, Myrtle, Myles, Murray, Renee, Vera, Alex Latham",36,50p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Gale Primary Sources,1976,Jackie Forster,"Di, Helen, Irene, Joan, Jenny, Jan, Jean, Kate, Liz, Lynn, Mary, Myles, Murray, Renee, Vera, Alex Latham",37,50p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,Gale Primary Sources,1977,Jackie Forster,"Di, Helen, Irene, Joan, Jenny, Jan, Jean, Kate, Liz, Lynn, Mary, Myles, Murray, Renee, Sally,  Vera, Alexandra Latham",36,50p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Gale Primary Sources,1977,Jackie Forster,"Di, Helen, Irene, Joan, Jenny, Jan, Jean, Kate, Liz, Lynn, Mary, Myles, Murray, Renee, Sally,  Vera, Alexandra Latham",21,50p,Sappho Publications LTD,"Marylands Printing Services, Hemel Hempstead, Herts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,Gale Primary Sources,1977,Jackie Forster,"Di, Helen, Irene, Joan, Jenny, Jan, Jean, Kate, Liz, Lynn, Mary, Myles, Murray, Renee, Sally,  Vera, Alexandra Latham",36,50p,Sappho Publications LTD,Hanway Place Print Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,Gale Primary Sources,1977,Jackie Forster,"Di, Helen, Irene, Joan, Jenny, Jan, Jean, Kate, Liz, Lynn, Mary, Myles, Murray, Renee, Sally,  Vera, Alexandra Latham",36,50p,Sappho Publications LTD,Hanway Place Print Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,Gale Primary Sources,1977,Jackie Forster,"Di, Helen, Irene, Joan, Jenny, Jan, Jean, Kate, Liz, Lynn, Mary, Myles, Murray, Renee, Sally,  Vera, Alexandra Latham",36,50p,Sappho Publications LTD,Hanway Place Print Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Gale Primary Sources,1977,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Kate, Maria, Myles, Murray, Renee, Rosemary, Sally, Alexandra Latham",36,50p,Sappho Publications LTD,Hanway Place Print Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,Gale Primary Sources,1978,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Kate, Maria, Myles, Murray, Renee, Rosemary, Sally, Alexandra Latham",36,50p,Sappho Publications LTD,Hanway Place Print Company 016374198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,Gale Primary Sources,1978,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Kate, Maria, Myles, Murray, Renee, Rosemary, Sally, Valerie Taylor",36,50p,Sappho Publications LTD,Hanway Place Print Company 016374198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Gale Primary Sources,1978,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Kate, Maria, Nikki, Rosemary, Sally, Valerie Taylor",36,50p,Sappho Publications LTD,"Hanway Place Print Co, Islington, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,Gale Primary Sources,1978,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Kate, Maria, Nikki, Rosemary, Sally, Valerie Taylor",36,50p,Sappho Publications LTD,"Hanway Place Print Co, Islington, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,Gale Primary Sources,1978,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joan, Jenny, Josephine, Kate, Nikki, Rosemary, Sally, Shelley, Valerie Taylor",36,50p,Sappho Publications LTD,"Hanway Place Print Co, Islington, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,GWL,1979,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Sally, Shelley, Valerie Taylor",36,50p,Sappho Publications LTD,"Hanway Place Print Co, Islington, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,GWL,1979,Jackie Forster,"Bridget, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Sally, Shelley, Valerie Taylor",20,50p,Sappho Publications LTD,"Hanway Print Centre, Islington, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,GWL,1979,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Sally, Shelley, Valerie Taylor",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,GWL,1979,Jackie Forster,"Bridget, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Jackie, Sally, Shelley, Valerie Taylor",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,GWL,1980,Jackie Forster,"Bridget, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Jackie, Sally, Shelley, Valerie Taylor",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,GWL,1980,Jackie Forster,"Bridget, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Jackie, Sally, Shelley, Valerie Taylor",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,GWL,1980,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Jackie, Sally, Shelley, Dark Moon, W11",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,GWL,1980,Jackie Forster,"Carolyn, Di, Geraldine, Irene, Joyce, Lesley, Linda, Kate, Margaret, Rosie, Rosemary, Sally, Shelley, Dark Moon W11",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,GWL,1981,Jackie Forster,"Di, Geraldine, Irene, Jackie, Joyce, Lesley, Linda, Zoe, Marie, Marilyn, Nettie, Kate, Rosemary, Rosie, Sally, Shelley, Dark Moon W11",20,60p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,GWL,1981,Jackie Forster,"Di, Geraldine, Irene, Jackie, Joyce, Lesley, Linda, Zoe, Marie, Marilyn, Nettie, Kate, Rosemary, Rosie, Sally,  Shelley,  Dark Moon W11",20,60p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,GWL,1981,Jackie Forster,"Di, Geraldine, Irene, Jackie, Joyce, Lesley, Linda, Zoe, Marie, Marilyn, Nettie, Kate, Rosemary, Rosie, Sally,  Shelley,  Dark Moon W11",20,60p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,GWL,1981,Jackie Forster,"Di, Geraldine, Irene, Jackie, Joyce, Lesley, Linda, Zoe, Marie, Marilyn, Christabelle,  Rosemary, Rosie, Sally, Shelley, Dark Moon W11",20,60p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,